iter	Passed	Remaining
455	898	1071
456	899	1069
457	902	1067
458	904	1065
459	907	1064
460	909	1062
461	910	1060
462	912	1057
463	914	1055
464	915	1053
465	917	1050
466	919	1049
467	922	1048
468	924	1046
469	925	1044
470	927	1041
471	929	1039
472	931	1037
473	932	1034
474	935	1034
475	937	1032
476	939	1030
477	941	1027
478	943	1025
479	944	1023
480	946	1020
481	948	1019
482	950	1017
483	952	1015
484	954	1013
485	956	1011
486	957	1009
487	959	1006
488	961	1004
489	963	1003
490	966	1001
491	967	999
492	969	996
493	971	994
494	972	992
495	974	990
496	975	987
497	978	986
498	980	984
499	982	982
500	984	980
501	986	978
502	987	976
503	989	973
504	990	971
505	993	970
506	996	968
507	998	966
508	999	964
509	1001	962
510	1003	959
511	1004	957
512	1006	955
513	1008	953
514	1010	952
515	1012	949
516	1013	947
517	1015	944
518	1017	942
519	1018	940
520	1020	938
521	1023	937
522	1025	935
523	1026	932
524	1028	930
525	1030	928
526	1032	926
527	1033	924
528	1036	922
529	1038	921
530	1040	919
531	1042	916
532	1044	914
533	1045	912
534	1047	910
535	1048	907
536	1051	906
537	1053	905
538	1055	903
539	1057	901
540	1059	898
541	1061	896
542	1062	894
543	1066	894
544	1068	892
545	1069	889
546	1071	887
547	1073	885
548	1074	883
549	1076	880
550	1078	878
551	1081	877
552	1082	875
553	1084	873
554	1086	871
555	1087	868
556	1089	866
557	1090	864
558	1093	862
559	1096	861
560	1097	859
561	1099	857
562	1101	854
563	1102	852
564	1104	850
565	1105	847
566	1108	846
567	1110	844
568	1112	843
569	1114	840
570	1116	838
571	1117	836
572	1119	834
573	1120	831
574	1123	830
575	1126	829
576	1128	827
577	1129	824
578	1131	822
579	1133	820
580	1134	818
581	1136	816
582	1140	815
583	1146	816
584	1153	818
585	1157	818
586	1160	816
587	1162	814
588	1164	812
589	1166	810
590	1168	808
591	1169	806
592	1177	808
593	1183	809
594	1188	808
595	1191	807
596	1194	806
597	1195	803
598	1197	801
599	1199	799
600	1200	797
601	1202	795
602	1205	793
603	1207	791
604	1208	789
605	1210	786
606	1211	784
607	1213	782
608	1215	780
609	1217	778
610	1220	776
611	1221	774
612	1223	772
613	1225	770
614	1226	768
615	1228	765
616	1229	763
617	1231	761
618	1235	760
619	1237	758
620	1238	755
621	1240	753
622	1242	751
623	1243	749
624	1245	747
625	1247	745
626	1250	743
627	1251	741
628	1253	739
629	1255	737
630	1256	734
631	1258	732
632	1259	730
633	1262	728
634	1265	727
635	1266	725
636	1268	722
637	1270	720
638	1272	718
639	1273	716
640	1275	714
641	1278	713
642	1280	710
643	1281	708
644	1283	706
645	1285	704
646	1286	702
647	1288	699
648	1291	698
649	1293	696
650	1295	694
651	1297	692
652	1298	690
653	1300	687
654	1301	685
655	1304	683
656	1306	682
657	1308	680
658	1310	678
659	1312	675
660	1313	673
661	1315	671
662	1317	669
663	1319	667
664	1322	665
665	1324	664
666	1325	661
667	1327	659
668	1328	657
669	1330	655
670	1332	653
671	1334	651
672	1337	649
673	1339	647
674	1340	645
675	1342	643
676	1344	641
677	1345	639
678	1346	636
679	1349	634
680	1352	633
681	1353	631
682	1355	629
683	1356	626
684	1358	624
685	1361	623
686	1364	621
687	1367	620
688	1368	617
689	1370	615
690	1372	613
691	1374	611
692	1375	609
693	1377	607
694	1380	605
695	1382	603
696	1383	601
697	1385	599
698	1386	597
699	1388	595
700	1390	593
701	1392	591
702	1395	589
703	1396	587
704	1398	585
705	1400	583
706	1402	581
707	1403	578
708	1404	576
709	1407	574
710	1409	573
711	1411	570
712	1413	568
713	1415	566
714	1416	564
715	1418	562
716	1421	561
717	1423	559
718	1425	557
719	1427	555
720	1429	553
721	1430	550
722	1432	548
723	1434	546
724	1436	544
725	1438	542
726	1440	541
727	1442	538
728	1443	536
729	1445	534
730	1447	532
731	1448	530
732	1450	528
733	1453	526
734	1455	524
735	1457	522
736	1458	520
737	1460	518
738	1461	516
739	1463	514
740	1465	512
741	1468	510
742	1470	508
743	1472	506
744	1473	504
745	1475	502
746	1477	500
747	1478	498
748	1480	496
749	1482	494
750	1484	492
751	1486	490
752	1488	488
753	1490	486
754	1491	484
755	1494	482
756	1498	480
757	1499	478
758	1501	476
759	1503	474
760	1505	472
761	1506	470
762	1509	468
763	1512	467
764	1514	465
765	1515	462
766	1517	461
767	1519	458
768	1520	456
769	1522	454
770	1525	453
771	1527	451
772	1529	449
773	1530	446
774	1532	444
775	1534	442
776	1535	440
777	1537	438
778	1540	436
779	1542	434
780	1543	432
781	1545	430
782	1547	428
783	1548	426
784	1550	424
785	1552	422
786	1554	420
787	1556	418
788	1558	416
789	1560	414
790	1561	412
791	1563	410
792	1565	408
793	1567	406
794	1570	404
795	1572	402
796	1573	400
797	1575	398
798	1577	396
799	1578	394
800	1580	392
801	1582	390
802	1585	388
803	1587	386
804	1588	384
805	1590	382
806	1591	380
807	1593	378
808	1595	376
809	1597	374
810	1600	372
811	1601	370
812	1603	368
813	1605	366
814	1606	364
815	1608	362
816	1610	360
817	1613	359
818	1615	356
819	1616	354
820	1618	352
821	1620	350
822	1621	348
823	1623	346
824	1625	344
825	1627	342
826	1629	340
827	1631	338
828	1632	336
829	1634	334
830	1635	332
831	1637	330
832	1639	328
833	1641	326
834	1643	324
835	1645	322
836	1647	320
837	1648	318
838	1650	316
839	1652	314
840	1654	312
841	1657	310
842	1658	308
843	1660	306
844	1662	304
845	1664	302
846	1665	300
847	1667	298
848	1669	296
849	1672	295
850	1674	293
851	1675	291
852	1677	289
853	1678	287
854	1680	285
855	1682	283
856	1685	281
857	1687	279
858	1689	277
859	1691	275
860	1692	273
861	1694	271
862	1696	269
863	1698	267
864	1701	265
865	1703	263
866	1705	261
867	1707	259
868	1709	257
869	1712	255
870	1715	254
871	1717	252
872	1719	250
873	1721	248
874	1722	246
875	1724	244
876	1726	242
877	1728	240
878	1730	238
879	1733	236
880	1734	234
881	1736	232
882	1737	230
883	1739	228
884	1741	226
885	1744	224
886	1746	222
887	1747	220
888	1749	218
889	1750	216
890	1752	214
891	1754	212
892	1755	210
893	1758	208
894	1761	206
895	1762	204
896	1764	202
897	1765	200
898	1767	198
899	1769	196
900	1771	194
901	1774	192
902	1776	190
903	1777	188
904	1779	186
905	1781	184
906	1782	182
907	1784	180
908	1786	178
909	1788	176
910	1790	174
911	1792	172
912	1794	170
913	1795	168
914	1797	166
915	1798	164
916	1800	163
917	1803	161
918	1805	159
919	1806	157
920	1808	155
921	1810	153
922	1811	151
923	1813	149
924	1815	147
925	1818	145
926	1820	143
927	1821	141
928	1823	139
929	1824	137
930	1826	135
931	1828	133
932	1830	131
933	1833	129
934	1835	127
935	1837	125
936	1838	123
937	1840	121
938	1842	119
939	1844	117
940	1847	115
941	1849	113
942	1850	111
943	1852	109
944	1854	107
945	1882	107
946	1889	105
947	1899	104
948	1906	102
949	1912	100
950	1915	98
951	1917	96
952	1921	94
953	1923	92
954	1930	90
955	1935	89
956	1938	87
957	1939	85
958	1941	82
959	1943	80
960	1945	78
961	1947	76
962	1949	74
963	1952	72
964	1953	70
965	1955	68
966	1957	66
967	1959	64
968	1961	62
969	1963	60
970	1966	58
971	1968	56
972	1969	54
973	1971	52
974	1973	50
975	1975	48
976	1977	46
977	1986	44
978	1987	42
979	1988	40
980	1989	38
981	1991	36
982	1993	34
983	1995	32
984	1997	30
985	1999	28
986	2001	26
987	2002	24
988	2005	22
989	2008	20
990	2010	18
991	2012	16
992	2014	14
993	2016	12
994	2018	10
995	2021	8
996	2024	6
997	2026	4
998	2029	2
999	2030	0
